name,href,location
Chandra Shekhar Varma,https://www.rekhta.org/poets/chandra-shekhar-varma,"<a href=""/domicile/india/uttar-pradesh/other-44/lucknow/poets"">Lucknow</a>"
Chandrabhan Khayal,https://www.rekhta.org/poets/chandrabhan-khayal,"<a href=""/domicile/india/other-10/other/delhi/poets"">Delhi</a>"
Chandrakant Bakshi,https://www.rekhta.org/authors/chandrakant-bakshi,
Chandrashekhar Pandey Shams,https://www.rekhta.org/poets/chandrashekhar-pandey-shams,
Chandu Lal Bahadur Shadan,https://www.rekhta.org/poets/chandu-lal-bahadur-shadan,"<a href=""/domicile/india/telangana/other-55/hyderabad/poets"">Hyderabad</a>"
Charagh Barelvi,https://www.rekhta.org/poets/charagh-barelvi,"<a href=""/domicile/india/uttar-pradesh/other-44/bareilly/poets"">Bareilly</a>"
Charagh Sharma,https://www.rekhta.org/poets/charagh-sharma,"<a href=""/domicile/india/uttar-pradesh/other-44/chandausi/poets"">Chandausi</a>"
Charan Singh Bashar,https://www.rekhta.org/poets/charan-singh-bashar,"<a href=""/domicile/india/uttar-pradesh/other-44/lucknow/poets"">Lucknow</a>"
Charkh Chinioti,https://www.rekhta.org/poets/charkh-chinioti,
Chashma Farooqi,https://www.rekhta.org/authors/chashma-farooqi,"<a href=""/domicile/india/other-10/other/delhi/poets"">Delhi</a>"
Chaudhari Mohammad Ali Rudaulvi,https://www.rekhta.org/authors/chaudhari-mohammad-ali-rudaulvi,"<a href=""/domicile/india/uttar-pradesh/other-44/rudauli/poets"">Rudauli</a>"
Chaudhary Kalka Prashad Ijad Biswani,https://www.rekhta.org/poets/chaudhary-kalka-prashad-ijad-biswani,
Chaudhary Mohammad Naeem,https://www.rekhta.org/authors/chaudhary-mohammad-naeem,"<a href=""/domicile/usa/na/na/na/poets"">USA</a>"
Chaudhary Moinuddin Usmani Arif,https://www.rekhta.org/poets/chaudhary-moinuddin-usmani-arif,"<a href=""/domicile/india/uttar-pradesh/other-44/barabanki/poets"">Barabanki</a>"
Chaudhary Sher Jung,https://www.rekhta.org/authors/chaudhary-sher-jung,
Chhabi Saksena Sahai Saba,https://www.rekhta.org/poets/chhabi-saksena-sahai-saba,"<a href=""/domicile/uae/na/na/na/poets"">UAE</a>"
Chiragh Hasan Hasrat,https://www.rekhta.org/authors/chiragh-hasan-hasrat,"<a href=""/domicile/pakistan/punjab/other-57/lahore/poets"">Lahore</a>"
Chiraguddin Charagh,https://www.rekhta.org/poets/chiraguddin-charagh,"<a href=""/domicile/india/madhya-pradesh/other-17/burhanpur/poets"">Burhanpur</a>"
Chirikof,https://www.rekhta.org/poets/chirikof,
Chitra Bhardwaj suman,https://www.rekhta.org/poets/chitra-bhardwaj-suman,"<a href=""/domicile/india/rajasthan/other-15/jaipur/poets"">Jaipur</a>"
Chitransh Khare,https://www.rekhta.org/poets/chitransh-khare,"<a href=""/domicile/india/madhya-pradesh/other-17/bhopal/poets"">Bhopal</a>"
Chonch Gayawi,https://www.rekhta.org/poets/chonch-gayawi,"<a href=""/domicile/india/bihar/other-50/gaya/poets"">Gaya</a>"
Chunchal Sialkoti,https://www.rekhta.org/poets/chunchal-sialkoti,"<a href=""/domicile/pakistan/punjab/other-57/sialkot/poets"">Sialkot</a>"
Chunni Lal Madiya,https://www.rekhta.org/authors/chunni-lal-madiya,
Col. Mohammad Khan,https://www.rekhta.org/authors/col-mohammad-khan,"<a href=""/domicile/pakistan/punjab/other-57/lahore/poets"">Lahore</a>"
D K Kanwal,https://www.rekhta.org/authors/d-k-kanwal,
D. Raj Kanwal,https://www.rekhta.org/poets/d-raj-kanwal,
Daem Gawwasi,https://www.rekhta.org/poets/daem-gawwasi,
Dagh Dehlvi,https://www.rekhta.org/authors/dagh-dehlvi,"<a href=""/domicile/india/other-10/other/delhi/poets"">Delhi</a>"
dagh Niyazi,https://www.rekhta.org/poets/dagh-niyazi-1,
Dakhlan Bhopali,https://www.rekhta.org/poets/dakhlan-bhopali,"<a href=""/domicile/india/madhya-pradesh/other-17/bhopal/poets"">Bhopal</a>"
Damodar Thakur Zaki,https://www.rekhta.org/poets/damodar-thakur-zaki,
Danish Aligarhi,https://www.rekhta.org/poets/danish-aligarhi,"<a href=""/domicile/india/uttar-pradesh/other-44/aligarh/poets"">Aligarh</a>"
Danish Asari,https://www.rekhta.org/poets/danish-asari,"<a href=""/domicile/india/uttar-pradesh/other-44/maunath-bhanjan/poets"">Maunath Bhanjan</a>"
Danish Aziz,https://www.rekhta.org/poets/danish-aziz,"<a href=""/domicile/pakistan/punjab/other-57/lahore/poets"">Lahore</a>"
Danish Ejaz,https://www.rekhta.org/poets/danish-ejaz,
Danish Farahi,https://www.rekhta.org/poets/danish-farahi,"<a href=""/domicile/india/uttar-pradesh/other-44/azamgarh/poets"">Azamgarh</a>"
Danish Farazi,https://www.rekhta.org/poets/danish-farazi,
Danish Naqwi,https://www.rekhta.org/poets/danish-naqwi,
Danish Nazeer Dani,https://www.rekhta.org/poets/danish-nazeer-dani,
Daniyal Tareer,https://www.rekhta.org/poets/daniyal-tareer,"<a href=""/domicile/pakistan/balochistan/other-27/quetta/poets"">Quetta</a>"
Daniyal Zaman,https://www.rekhta.org/poets/daniyal-zaman,"<a href=""/domicile/pakistan/punjab/other-57/khushab/poets"">Khushab</a>"
Daood Kaashmiri,https://www.rekhta.org/poets/daood-kaashmiri,
Daood Mohsin,https://www.rekhta.org/authors/daood-mohsin,"<a href=""/domicile/india/karnataka/other-39/davanagere/poets"">Davanagere</a>"
Dard Asadi,https://www.rekhta.org/poets/dard-asadi,
Dard Faiz Khan,https://www.rekhta.org/poets/dard-faiz-khan,"<a href=""/domicile/india/uttar-pradesh/other-44/lucknow/poets"">Lucknow</a>"
Dard Saeedi,https://www.rekhta.org/poets/dard-saeedi,
Dard Sironji,https://www.rekhta.org/authors/dard-sironji,"<a href=""/domicile/india/madhya-pradesh/other-17/sironj/poets"">Sironj</a>"
Darshan Dayal Parwaz,https://www.rekhta.org/authors/darshan-dayal-parwaz,"<a href=""/domicile/india/punjab-1/other-56/jalandhar/poets"">Jalandhar</a>"
Darshan Singh,https://www.rekhta.org/poets/darshan-singh,
Darshika wasani,https://www.rekhta.org/poets/darshika-wasani,"<a href=""/domicile/india/maharashtra/other-30/mumbai/poets"">Mumbai</a>"
darvesh bharti,https://www.rekhta.org/poets/darvesh-bharti,"<a href=""/domicile/india/other-10/other/delhi/poets"">Delhi</a>"
Datatiri Rao,https://www.rekhta.org/poets/datatiri-rao,
Dattatriya Kaifi,https://www.rekhta.org/poets/dattatriya-kaifi,"<a href=""/domicile/india/other-10/other/delhi/poets"">Delhi</a>"
Daud Ghazi,https://www.rekhta.org/poets/daud-ghazi,"<a href=""/domicile/india/maharashtra/other-30/ratnagiri/poets"">Ratnagiri</a>"
Daud Naseeb,https://www.rekhta.org/authors/daud-naseeb,
Daud Nishat,https://www.rekhta.org/authors/daud-nishat,"<a href=""/domicile/india/andhra-pradesh/other-28/kadapa/poets"">Kadapa</a>"
Daulat Aasiri,https://www.rekhta.org/poets/daulat-aasiri,
Daulat Ram Sabir Panipati,https://www.rekhta.org/authors/daulat-ram-sabir-panipati,"<a href=""/domicile/india/haryana/other-20/panipat/poets"">Panipat</a>"
Daur Afridi,https://www.rekhta.org/poets/daur-afridi,"<a href=""/domicile/india/uttar-pradesh/other-44/rampur/poets"">Rampur</a>"
Davarka Das Shola,https://www.rekhta.org/poets/davarka-das-shola,"<a href=""/domicile/india/other-10/other/delhi/poets"">Delhi</a>"
Dawood Kashmiri,https://www.rekhta.org/authors/dawood-kashmiri,"<a href=""/domicile/india/maharashtra/other-30/mumbai/poets"">Mumbai</a>"
Dawood Khan Raaz,https://www.rekhta.org/poets/dawood-khan-raaz,
Dawood Rizwan,https://www.rekhta.org/poets/dawood-rizwan,"<a href=""/domicile/pakistan/na/na/na/poets"">Pakistan</a>"
Deedar Akbarpuri,https://www.rekhta.org/poets/deedar-akbarpuri,"<a href=""/domicile/iran/na/na/na/poets"">Iran</a>"
Deedar Bastawi,https://www.rekhta.org/authors/deedar-bastawi,"<a href=""/domicile/india/uttar-pradesh/other-44/basti/poets"">Basti</a>"
Deepak Budki,https://www.rekhta.org/authors/deepak-budki,"<a href=""/domicile/india/jammu-and-kashmir/na/na/poets"">Jammu and Kashmir</a>"
Deepak Danish,https://www.rekhta.org/poets/deepak-danish,
Deepak Jain Deep,https://www.rekhta.org/poets/deepak-jain-deep,"<a href=""/domicile/india/madhya-pradesh/other-17/guna/poets"">Guna</a>"
Deepak Kamil,https://www.rekhta.org/poets/deepak-kamil,"<a href=""/domicile/india/rajasthan/na/na/poets"">Rajasthan</a>"
Deepak Kanwal,https://www.rekhta.org/authors/deepak-kanwal,
Deepak Purohit,https://www.rekhta.org/poets/deepak-purohit,"<a href=""/domicile/india/rajasthan/other-15/jaipur/poets"">Jaipur</a>"
Deepak Qamar,https://www.rekhta.org/poets/deepak-qamar,"<a href=""/domicile/india/uttar-pradesh/other-44/meerut/poets"">Meerut</a>"
Deepak Sharma Deep,https://www.rekhta.org/poets/deepak-sharma-deep,"<a href=""/domicile/india/madhya-pradesh/other-17/satna/poets"">Satna</a>"
Deepali Agarwal,https://www.rekhta.org/poets/deepali-agarwal,"<a href=""/domicile/india/other-10/other/delhi/poets"">Delhi</a>"
Ehqar Jhanswi,https://www.rekhta.org/poets/ehqar-jhanswi,"<a href=""/domicile/india/uttar-pradesh/other-44/jhansi/poets"">Jhansi</a>"
Ehsaan Ghaman,https://www.rekhta.org/poets/ehsaan-ghaman,"<a href=""/domicile/pakistan/punjab/other-57/gujrat/poets"">Gujrat</a>"
Ehsaan Sabz,https://www.rekhta.org/poets/ehsaan-sabz,"<a href=""/domicile/pakistan/sindh/other-19/karachi/poets"">Karachi</a>"
Ehsan Akbar,https://www.rekhta.org/poets/ehsan-akbar,"<a href=""/domicile/pakistan/na/na/na/poets"">Pakistan</a>"
Ehsan Akhtar Ghazipuri,https://www.rekhta.org/authors/ehsan-akhtar-ghazipuri,
Ehsan Ali Khan,https://www.rekhta.org/poets/ehsan-ali-khan,"<a href=""/domicile/pakistan/other-19/other-41/islamabad/poets"">Islamabad</a>"
Ehsan Asghar,https://www.rekhta.org/poets/ehsan-asghar,"<a href=""/domicile/pakistan/punjab/other-57/lahore/poets"">Lahore</a>"
Ehsan Danish,https://www.rekhta.org/poets/ehsan-danish,"<a href=""/domicile/pakistan/punjab/other-57/lahore/poets"">Lahore</a>"
Ehsan Darbhangavi,https://www.rekhta.org/poets/ehsan-darbhangavi,"<a href=""/domicile/india/bihar/na/na/poets"">Bihar</a>"
Ehsan Jafri,https://www.rekhta.org/poets/ehsan-jafri,"<a href=""/domicile/india/gujarat/other-4/ahmedabad/poets"">Ahmedabad</a>"
Ehsan Nanparwi,https://www.rekhta.org/authors/ehsan-nanparwi,
Ehsan Razaa,https://www.rekhta.org/poets/ehsan-razaa,
Ehsan Saqib,https://www.rekhta.org/poets/ehsan-saqib,
Ehsan Sehgal,https://www.rekhta.org/authors/ehsan-sehgal,
Ehsanul Haq Mazhar,https://www.rekhta.org/poets/ehsanul-haq-mazhar,
Ehsas Gayawi,https://www.rekhta.org/poets/ehsas-gayawi,"<a href=""/domicile/india/bihar/other-50/gaya/poets"">Gaya</a>"
Ehsas magahri,https://www.rekhta.org/poets/ehsas-magahri,
Ehsas Muradabadi,https://www.rekhta.org/poets/ehsas-muradabadi,
Ehteram Islam,https://www.rekhta.org/poets/ehteram-islam,"<a href=""/domicile/india/uttar-pradesh/other-44/allahabad/poets"">Allahabad</a>"
Ehtisham Akhtar,https://www.rekhta.org/poets/ehtisham-akhtar,"<a href=""/domicile/india/rajasthan/other-15/kota/poets"">Kota</a>"
Ehtisham Bachhrayuni,https://www.rekhta.org/authors/ehtisham-bachhrayuni,"<a href=""/domicile/india/uttar-pradesh/other-44/moradabad/poets"">Moradabad</a>"
Ehtisham Hasan,https://www.rekhta.org/poets/ehtisham-hasan,"<a href=""/domicile/pakistan/punjab/other-57/bahawalpur-1/poets"">Bahawalpur</a>"
Ehtisham ul Haq Siddiqui,https://www.rekhta.org/poets/ehtisham-ul-haq-siddiqui,"<a href=""/domicile/india/uttar-pradesh/other-44/muzaffarnagar/poets"">Muzaffarnagar</a>"
Ehya Bhojpuri,https://www.rekhta.org/poets/ehya-bhojpuri,"<a href=""/domicile/uae/other-21/other-25/dubai/poets"">Dubai</a>"
Ejaaz Ahamd,https://www.rekhta.org/poets/ejaaz-ahamd,
Ejaaz Talib,https://www.rekhta.org/poets/ejaaz-talib,
Ejaaz tawakkal,https://www.rekhta.org/poets/ejaaz-tawakkal,"<a href=""/domicile/pakistan/punjab/other-57/bahawalpur-1/poets"">Bahawalpur</a>"
Ejaz Ahmad Ejaz,https://www.rekhta.org/poets/ejaz-ahmad-ejaz,"<a href=""/domicile/united-kingdom/other-22/other-13/london/poets"">London</a>"
Ejaz Ajmeri,https://www.rekhta.org/authors/ejaz-ajmeri,
Ejaz Akhtar,https://www.rekhta.org/poets/ejaz-akhtar,
Ejaz Ali Arshad,https://www.rekhta.org/authors/ejaz-ali-arshad,"<a href=""/domicile/india/bihar/other-50/patna/poets"">Patna</a>"
Ejaz Ansari,https://www.rekhta.org/poets/ejaz-ansari,"<a href=""/domicile/india/other-10/other/delhi/poets"">Delhi</a>"
Ejaz Asif,https://www.rekhta.org/poets/ejaz-asif,
Ejaz Azmi,https://www.rekhta.org/poets/ejaz-azmi,"<a href=""/domicile/india/uttar-pradesh/other-44/azamgarh/poets"">Azamgarh</a>"
Ejaz Batalwi,https://www.rekhta.org/poets/ejaz-batalwi,
Ejaz Farooqi,https://www.rekhta.org/poets/ejaz-farooqi,"<a href=""/domicile/pakistan/punjab/other-57/lahore/poets"">Lahore</a>"
Ejaz Gul,https://www.rekhta.org/poets/ejaz-gul,"<a href=""/domicile/pakistan/other-19/other-41/islamabad/poets"">Islamabad</a>"
Ejaz Haidar,https://www.rekhta.org/poets/ejaz-haidar,"<a href=""/domicile/pakistan/punjab/other-57/rawalpindi/poets"">Rawalpindi</a>"
Ejaz Kamravi,https://www.rekhta.org/poets/ejaz-kamravi,
Ejaz Manpuri,https://www.rekhta.org/poets/ejaz-manpuri,"<a href=""/domicile/india/bihar/other-50/gaya/poets"">Gaya</a>"
Ejaz Obaid,https://www.rekhta.org/poets/ejaz-obaid,
